,Date,Low,High,Close,Open
846,2015-09-30,88.01,90.02,89.9,88.44
847,2015-10-01,88.36,90.95,90.95,90.05
848,2015-10-02,88.37,92.2,92.07,88.9
849,2015-10-05,92.66,94.27,94.01,92.94
850,2015-10-06,92.34,94.17,92.8,94.08
851,2015-10-07,91.37,93.66,92.4,93.11
852,2015-10-08,90.47,93.22,92.47,91.89
853,2015-10-09,92.239,93.74,93.24,92.9
854,2015-10-12,92.67,94.6,94.26,93.32
855,2015-10-13,93.55,95.37,94.12,93.66
856,2015-10-14,93.61,95.2,94.07,94.08
857,2015-10-15,94.9,96.3,95.96,94.99
858,2015-10-16,95.35,97.59,97.54,96.18
859,2015-10-19,96.92,98.57,98.47,97.18
860,2015-10-20,96.56,99.59,97.0,98.73
861,2015-10-21,96.47,98.18,97.11,97.37
862,2015-10-22,97.55,99.73,99.67,97.79
863,2015-10-23,100.16,102.85,102.19,101.91
864,2015-10-26,101.55,103.81,103.77,102.2
865,2015-10-27,102.4,104.1,103.7,102.94
866,2015-10-28,102.92,104.48,104.2,103.9
867,2015-10-29,103.52,105.12,104.88,103.96
868,2015-10-30,101.65,104.72,101.97,104.51
869,2015-11-02,101.18,103.47,103.31,102.46
870,2015-11-03,102.4,103.65,102.58,103.22
871,2015-11-04,102.48,104.14,103.94,103.19
872,2015-11-05,107.95,110.65,108.76,108.8
873,2015-11-06,105.91,108.74,107.095,108.04
874,2015-11-09,105.86,108.25,106.49,107.0
875,2015-11-10,105.24,108.15,107.91,105.96
876,2015-11-11,107.11,109.87,109.01,108.27
877,2015-11-12,108.0,109.39,108.02,108.48
878,2015-11-13,103.83,108.25,103.95,107.71
879,2015-11-16,100.47,104.17,104.04,103.32
880,2015-11-17,104.14,106.2,105.13,104.62
881,2015-11-18,105.39,107.88,107.77,105.8
882,2015-11-19,105.95,107.73,106.26,107.36
883,2015-11-20,106.62,107.87,107.32,106.84
884,2015-11-23,106.08,107.468,106.95,107.19
885,2015-11-24,104.39,106.49,105.74,106.0
886,2015-11-25,105.1,106.6,105.41,106.33
887,2015-11-27,104.86,105.96,105.45,105.78
888,2015-11-30,103.75,106.0999,104.24,105.84
889,2015-12-01,104.5,107.15,107.12,104.83
890,2015-12-02,105.79,107.92,106.07,107.0
891,2015-12-03,103.35,106.85,104.38,106.27
892,2015-12-04,104.11,107.73,106.18,104.81
893,2015-12-07,104.66,106.83,105.61,106.48
894,2015-12-08,103.95,106.91,106.49,104.0
895,2015-12-09,103.55,106.44,104.6,106.18
896,2015-12-10,104.41,106.4,105.42,105.05
897,2015-12-11,101.91,104.34,102.12,104.15
898,2015-12-14,101.46,104.74,104.66,102.285
899,2015-12-15,104.28,105.8,104.55,105.3
900,2015-12-16,104.19,107.09,106.79,105.37
901,2015-12-17,106.13,107.75,106.22,107.49
902,2015-12-18,103.97,106.59,104.04,106.08
903,2015-12-21,103.6,105.15,104.77,104.91
904,2015-12-22,104.81,105.6601,105.51,105.22
905,2015-12-23,103.86,106.11,104.63,105.89
906,2015-12-24,104.5,105.32,105.02,104.74
907,2015-12-28,104.53,105.98,105.93,105.02
908,2015-12-29,106.25,107.74,107.26,106.42
909,2015-12-30,106.06,107.25,106.22,107.0
910,2015-12-31,104.62,106.17,104.66,106.0
911,2016-01-04,99.75,102.24,102.22,101.95
912,2016-01-05,101.665,103.7099,102.73,102.89
913,2016-01-06,100.9,103.77,102.97,101.13
914,2016-01-07,97.3,101.43,97.92,100.5
915,2016-01-08,97.0311,100.5,97.33,99.88
916,2016-01-11,95.39,98.6,97.51,97.91
917,2016-01-12,97.55,99.96,99.37,99.0
918,2016-01-13,95.21,100.58,95.44,100.58
919,2016-01-14,92.45,98.87,98.37,95.85
920,2016-01-15,93.54,96.38,94.97,93.98
921,2016-01-19,93.92,97.42,95.26,96.53
922,2016-01-20,89.37,95.0,94.35,92.83
923,2016-01-21,92.62,95.99,94.16,94.91
924,2016-01-22,95.49,98.07,97.94,96.41
925,2016-01-25,96.93,99.48,97.01,98.72
926,2016-01-26,95.66,97.88,97.34,97.76
927,2016-01-27,94.23,97.85,94.45,97.79
928,2016-01-28,104.81,110.34,109.11,107.2
929,2016-01-29,108.84,112.84,112.21,108.99
930,2016-02-01,112.01,115.72,115.09,112.27
931,2016-02-02,113.2,117.59,114.61,114.8
932,2016-02-03,109.75,115.3407,112.69,115.27
933,2016-02-04,109.25,111.94,110.49,111.8
934,2016-02-05,103.18,109.58,104.07,109.51
935,2016-02-08,97.46,102.68,99.75,100.41
936,2016-02-09,96.82,102.4,99.54,97.14
937,2016-02-10,100.24,103.25,101.0,101.55
938,2016-02-11,98.88,105.11,101.91,99.6
939,2016-02-12,101.09,104.24,102.01,103.74
940,2016-02-16,100.24,103.93,101.61,103.8
941,2016-02-17,100.4,105.72,105.2,101.94
942,2016-02-18,103.03,106.0,103.47,105.8
943,2016-02-19,102.06,105.02,104.57,102.55
944,2016-02-22,105.34,108.25,107.16,105.49
945,2016-02-23,105.12,107.47,105.46,106.85
946,2016-02-24,102.74,106.95,106.88,104.21
947,2016-02-25,105.61,108.07,108.07,107.11
948,2016-02-26,107.16,109.45,107.92,108.7
949,2016-02-29,106.75,108.9101,106.92,107.6
950,2016-03-01,107.6,109.82,109.82,107.83
